Date,Title,Subtitle
10/05/2019 às 12h49,"OMC muda juiz de disputa entre Embraer e Bombardier
",Decisão sobre denúncia do Brasil contra o Canadá está atrasada em um ano e corre risco de demorar ainda mais
10/05/2019 às 12h07,"Vale deve retomar nível de produção de minério de ferro em 2 a 3 anos 
","Meta era produzir 400 milhões de toneladas anuais a partir de 2019, mas foi abandonada após tragédia de Brumadinho"
10/05/2019 às 11h49,"Vale prevê solução definitiva para barragens a montante em 3 anos
","Serão desativadas nove barragens semelhantes à de Brumadinho (MG), que se rompeu em 25 de janeiro"
10/05/2019 às 10h02,"BRF teve prejuízo líquido de R$ 1 bilhão no 1º trimestre
","Considerando operações continuadas, prejuízo foi de R$ 113 milhões"
10/05/2019 às 08h39,"Totvs anuncia oferta e quer captar até R$ 1,08 bilhão para aquisições
",Oferta contempla a possibilidade de colocação de 7 milhões de papéis adicionais
10/05/2019 às 05h00,"Com R$ 2 bilhões em caixa, Enauta vai priorizar compra de ativos
",Prioridade da petroleira é diversificar suas fontes de receitas
10/05/2019 às 01h11,"LPS: Prejuízo diminui 13% no 1º trimestre, para R$ 4,79 milhões
",
10/05/2019 às 01h09,"CVC tem alta de 21,8% no lucro no 1º trimestre, para R$ 99,1 milhões
",
09/05/2019 às 21h55,"Azul pode crescer além do previsto se Avianca falir, diz presidente
",
09/05/2019 às 21h36,"Triunfo vai de lucro a prejuízo de R$ 293,1 milhões no 4º tri de 2018 
",
09/05/2019 às 21h22,"Lucro dos bancos cresce quase 20% no início do ano
",Atividade econômica  fraca levou à revisão de despesas e foco em linhas com margem maior
09/05/2019 às 21h18,"Prejuízo da B2W sobe no primeiro trimestre 
","A companhia reportou registrou prejuízo de R$ 139,2 milhões no período; a receita recuou 13%, para R$ 1,3 bilhão"
09/05/2019 às 21h16,"Popularização do Tesouro chega em momento em que custo pesa mais
",Programa de títulos públicos supera a marca de 1 milhão de investidores
09/05/2019 às 21h13,"BTG Pactual quer ter piloto de conta corrente de varejo ainda este ano
",estratégia é semelhante ao que a concorrente XP Investimentos vem planejando
