Date,Title,Subtitle
09/05/2019 às 21h09,"Lojas Americanas reverte lucro e tem prejuízo no primeiro trimestre
","A varejista reportou prejuízo de R$ 53,5 milhões, revertendo lucro líquido de R$ 20 milhões no mesmo período de 2018"
09/05/2019 às 21h08,"Caixa dá a largada em oferta de ações da Petrobras
","Operação ainda não tem data, mas a expectativa é que ocorra em junho"
09/05/2019 às 20h56,"Lucro da Sabesp sobe 11,5% no primeiro trimestre 
","A companhia registrou lucro de R$ 647,3 milhões no período; a receita subiu 4,8% de janeiro a março, para R$ 3,878 bi"
09/05/2019 às 20h47,"Uber fixa valor de ação e quer captar ao menos US$ 8 bi em IPO
","A Uber Technologies Inc., que vai estrear na Bolsa de Nova York nesta sexta (10), informou que pretende vender 180 milhões de ações"
09/05/2019 às 20h16,"Prejuízo da Marisa Lojas fica praticamente estável no 1º trimestre
","A varejista de moda registrou prejuízo de R$ 40,8 milhões no período; a receita líquida da varejista cresceu 2,7%, para R$ 604,6 milhões"
09/05/2019 às 19h27,"Vale reverte lucro e tem prejuízo de R$ 6,4 bi no primeiro trimestre
",Vale destacou que o Ebitda negativo foi consequência dos impactos financeiros de Brumadinho
09/05/2019 às 19h20,"Lucro do Carrefour Brasil cresce 57,5% no primeiro trimestre 
","A varejista informou lucro líquido de R$ 441 milhões; a receita avançou 8,75%, para R$ 13,64 bilhões"
09/05/2019 às 19h12,"Embraer vai atrasar balanço do 1° trimestre
","Motivo é separação de ativos e passivos da aviação comercial para fins de aplicação inicial do tratamento contábil, após negócio com Boeing"
09/05/2019 às 19h11,"Suzano reverte lucro e tem prejuízo de R$ 1,23 bilhão no 1º trimestre
","No mesmo período de 2018, a companhia registrou um lucro líquido de R$ 813,1 milhões"
09/05/2019 às 19h02,"Cyrela reverte prejuízo e tem lucro de R$ 48,4 milhões no 1º trimestre
","A companhia reportou uma receita líquida de R$ 826,2 milhões, um avanço de 83,4% "
09/05/2019 às 18h50,"Lucro da Randon cai 26,7% no primeiro trimestre
","A fabricante de implementos rodoviários informou lucro líquido de R$ 31,7 milhões no período"
09/05/2019 às 17h47,"Preço da ação do Uber deve ficar em US$ 44 ou US$ 45 
",A companhia vai estrear na Bolsa de Nova York nesta sexta-feira (10) e operação de abertura de capital deve ser a maior dos últimos 5 anos
09/05/2019 às 17h34,"É #FAKE que Cunha tenha proposto delação que inclui 150 deputados
","Mensagem que circula nas redes sociais não tem fundamento. 'É tudo mentira', diz advogado do político. MPF também nega"
09/05/2019 às 16h17,"Pão de Açúcar perde R$ 3,4 bi com rumor de reestruturação
",Desde o fim do pregão de ontem surgiram as informações sobre um suposto plano de combinação de ativos do Casino na América do Sul 
09/05/2019 às 15h18,"Segundo trimestre será o melhor da história da CSN, diz Steinbruch
",O presidente da siderúrgica acredita que haverá uma redução de custos e reajustes de preços da tonelada do aço no país
09/05/2019 às 15h03,"Após solo afundar em Maceió, Braskem paralisa extração de sal-gema 
",A empresa resolveu iniciar os procedimentos para paralisação da atividade de mineração de sal-gema em Maceió
09/05/2019 às 14h15,"Sinistralidade deve ser menor no 2º trimestre, diz Hapvida
",A queda ocorrerá porque o período de chuvas em várias cidades do Nordeste ocorreu no 1º trimestre deste ano
09/05/2019 às 14h01,"Lucro líquido da SLC caiu 34% no 1º trimestre
",Resultado refletiu a antecipação de vendas de soja para dezembro
09/05/2019 às 13h34,"Azul pode ajustar voos dependendo do leilão da Avianca
",Companhia informou também que “teve um bom Carnaval e um início de segundo trimestre forte”
09/05/2019 às 12h13,"Pão de Açúcar diz não ter mais nada a falar sobre planos do Casino
",O presidente da empresa ainda pediu que as questões dos analistas se concentrassem nas operações do grupo
09/05/2019 às 11h18,"Totvs: Estamos trabalhando para que ciclo de aceleração se perpetue
","O modelo de computação em nuvem da empresa, por exemplo, já corresponde a 74% da receita total"
09/05/2019 às 10h15,"Dona da Vivo reajusta preço de plano pré-pago para investir mais 
","“Para fazer mais investimentos e ampliar a cobertura é preciso ter racionalidade de preços”, afirmou o presidente da Telefônica Brasil"
09/05/2019 às 10h05,"Petrobras registra na SEC oferta para venda de ação detida pela Caixa
","A Caixa quer vender 241.340.371 ações, ao preço de US$ 7,27 cada, o que significa que a oferta deve movimentar US$ 1,754 bilhão"
09/05/2019 às 09h43,"Lucro da corretora Wiz tem alta de 76% no 1º trimestre de 2019
","Na última quarta-feira, a Wiz anunciou a compra de uma fatia de 40% na Inter Seguros, subsidiária do Banco Inter"
09/05/2019 às 09h22,"Casino estuda diferentes opções estratégicas para América Latina 
",O comunicado é uma resposta à notícia de que o grupo francês estaria com planos de combinar ativos na região
09/05/2019 às 09h17,"Lucro da Vamos cresce 24% e supera R$ 30 milhões no 1º tri
",A empresa de locação e venda de caminhões controlada pelo grupo JSL teve um desempenho positivo nos três primeiros meses do ano
09/05/2019 às 08h41,"Rio Tinto estuda elevar produção se Vale seguir reduzindo oferta
",A mineradora anglo-australiana está monitorando as interrupções de produção de minério de ferro no Brasil 
09/05/2019 às 08h08,"Lucro líquido da Telefônica sobe 22,2% no 1º trimestre
",A companhia atribuiu o resultado ao controle de custos
09/05/2019 às 05h00,"Shell planeja ampliar presença no Brasil para além do petróleo
","Multinacional vê potencial para investir em gás, geração solar e biocombustíveis"
09/05/2019 às 05h00,"Petrobras divulga em junho modelo de venda do refino
",Estatal pretende vender separadamente as oito refinarias incluídas no plano de desinvestimento
09/05/2019 às 00h51,"Grupo JSL: lucro avança 142,2% no 1º trimestre, para R$ 60,8 milhões 
",
