Date,Title,Subtitle
24/10/2018 às 10h19,"Petrobras mantém inalterado preço da gasolina
","Desde o início da nova metodologia, o preço da gasolina nas refinarias acumula alta de 51,26% e, o do diesel, valorização de 74,21%"
24/10/2018 às 10h19,"Negócios da WEG mantêm ritmo de crescimento no Brasil e exterior 
","Resultado da companhia, afirma André Luís Rodrigues, diretor financeiro, tem contribuição de duas aquisições da empresa, uma delas nos EUA"
24/10/2018 às 08h59,"Lucro e receita da Weg avançam no trimestre
","Em termos nominais, o resultado de R$ 381,4 milhões é recorde para um terceiro trimestre"
24/10/2018 às 05h00,"Analistas preveem lucro em alta no 3º trimestre
",Crescimento deve ser maior nos setores que atuam com commodities e têm operações no exterior
23/10/2018 às 21h57,"Veja o que é #FATO ou #FAKE na sabatina de Haddad no jornal ‘O Globo'
",Candidato do PT à Presidência foi entrevistado nesta terça-feira
23/10/2018 às 21h00,"Balanços devem garantir alta adicional à bolsa
",
23/10/2018 às 20h51,"Inovação entra no radar da gestora Constellation
","Mercado Livre, Linx e NotreDame estão entre as preferências "
23/10/2018 às 17h35,"FT: Snap se mostra “na defensiva” e preocupa investidores
","Desde fevereiro, ações da companhia dona do aplicativo Snapchat perderam 70% do valor"
23/10/2018 às 17h24,"Após venda de usina, valor da Biosev aumenta R$ 2,6 bi
","Desde a venda da usina Estiva, em setembro, ações da empresa mais que dobraram"
23/10/2018 às 14h26,"JHSF pagará R$ 450 milhões em dívidas com venda de ativos à XP
","Maior parte dos débitos é com Bradesco e Banco do Brasil; ao todo, empresa levantou R$ 650 milhões com a venda de fatia de seus shoppings"
23/10/2018 às 13h28,"Eletrobras muda data do leilão da Amazonas Energia
","O certame estava originalmente previsto para o dia 25 de outubro, às 15h, mas passou para 27 de novembro, às 10h"
23/10/2018 às 12h42,"Stone antecipa cronograma de IPO devido a alta demanda por papéis
","A precificação, prevista para quinta-feira, será feita amanhã"
23/10/2018 às 12h22,"Haddad quer alguém com ‘cabeça na geração de empregos’ para Fazenda
","Em sabatina, o presidenciável não quis antecipar nome para assumir o ministério, caso seja eleito"
23/10/2018 às 11h49,"Aneel nega recurso da Eletrosul e da Eletronorte e retoma linhas
",Estatais serão punidas por descumprirem prazos contratuais
23/10/2018 às 11h28,"Braço imobiliário da Cosan investirá em hub de 'agtechs' em Piracicaba
","Aguassanta fará aporte de quase R$ 4,5 milhões no Reserva Jequitibá, bairro multiuso planejado em antigas áreas de canaviais da companhia"
23/10/2018 às 10h46,"Controladores da Light querem vender ações no mercado secundário
","A Cemig, maior sócia da companhia, deve aproveitar a oferta para vender sua participação"
23/10/2018 às 09h31,"Petrobras reduz preço da gasolina em 3,79%
","Na segunda-feira, a estatal diminuiu o valor do litro do combustível nas refinarias em 1,9%, reajuste que seria válido a partir de hoje"
23/10/2018 às 05h00,"Exportação da estatal subirá 'bastante', diz Ivan Monteiro
",
23/10/2018 às 05h00,"Justiça põe em xeque compliance da Petrobras
","Com liminar, a Convida Refeições participa de licitação apesar de veto da estatal"
23/10/2018 às 01h06,"Controladores da Light pretendem vender ações no mercado secundário
",
22/10/2018 às 21h14,"Mercado reforça otimismo  na reta final da eleição
",Ibovespa e real devem estender ‘rali’ com discurso reformista
22/10/2018 às 21h05,"Busca de investidores por plataformas desacelera
",Desaceleração é atribuída ao aumento da base e à volatilidade do mercado 
22/10/2018 às 21h01,"Stone atrai grupo chinês Alibaba para seu IPO
",
22/10/2018 às 21h00,"Nova contabilização de Vale impulsiona resultados da Previ
","Registro do ativo, que deixa de ser anual para mensal, traz ganho de mais de R$ 12 bi"
22/10/2018 às 20h39,"Neoenergia reverte prejuízo e lucra quase R$ 500 milhões no trimestre
","Receita operacional líquida da empresa cresceu 23%, totalizando R$ 7,191 bilhões, na comparação com igual período do ano passado"
22/10/2018 às 19h40,"Petrobras supera marca de R$ 3 bi ressarcidos por leniência e delação
","Estatal recebeu a devolução de R$ 549 milhões como parte do acordo assinado em julho com a CGU, a AGU, a SBM Offshore e a SBM Holding"
22/10/2018 às 19h01,"Valid compra mineira Agrotopus por R$ 6,5 milhões
",Empresa tem oito funcionários e fornece um sistema de rastreabilidade para cooperativas de café que representam 12% do mercado brasileiro
22/10/2018 às 18h27,"Anastasia diz que propostas de Zema e Novo para MG são 'utópicas'
","""Talvez na Suíça, em Dubai pode ser que funcionem, onde tem muito dinheiro"", afirmou o candidato do PSDB ao governo do Estado"
22/10/2018 às 18h19,"Marfrig obtém aprovação do Japão para vender Keystone à Tyson
","Para transação ser concluída, ainda restam as aprovações dos órgãos antitruste de China e Coreia do Sul"
22/10/2018 às 17h51,"Prévia de analistas aponta resultado sólido para Vale no 3º trimestre
","Levantamento de nove instituições financeiras indicam receita média de US$ 9,42 bilhões de no trimestre e lucro líquido de US$ 1,94 bilhão"
22/10/2018 às 15h35,"Tivit pede registro de companhia aberta na CVM
","A oferta, coordenada pelos bancos BTG Pactual, Bradesco BBI, Itaú BBA e J.P. Morgan, será de mais de R$ 1 bilhão, segundo fontes"
22/10/2018 às 12h32,"Com nova precificação da Litel, Previ volta ao superávit
",
22/10/2018 às 08h57,"Petrobras reduz o preço da gasolina 
","Desde o início da nova metodologia, o preço da gasolina nas refinarias acumula alta de 57,21% e, o do diesel, valorização de 74,21%"
22/10/2018 às 05h00,"Petrobras conclui primeira fase de testes de Mero e vai às compras
",Consórcio de Libra investirá mais de US$ 20 bi no desenvolvimento do campo
22/10/2018 às 05h00,"Minoritário da Braskem pede R$ 3,6 bi à Odebrecht
",Autor da ação aplicou R$ 5 mil em cem ações da petroquímica em abril deste ano
21/10/2018 às 17h39,"Empresas retomam ofertas de ações
",Tivit e BMG fazem registro  para realizar IPO ainda neste ano;  Light volta a trabalhar em ‘follow-on’
20/10/2018 às 20h11,"Ministério do Trabalho interdita parte de frigorífico da Marfrig no RS
",Empresa informou que já está adotando as medidas necessárias para a retomada das operações
20/10/2018 às 15h51,"Auditorias atestam confiabilidade de urnas eletrônicas no Sul, diz TSE
",Tribunais do Paraná e de Santa Catarina realizaram uma auditoria conjunta para avaliar suspeitas
19/10/2018 às 20h17,"Só pela sociedade civil, vamos poder mudar o Brasil, diz Luiza Trajano
","Após participar de evento na capital paulista, porém, a empresária afirmou que não se manifestaria sobre temas políticos"
19/10/2018 às 20h01,"Cemig dá partida em processo de 'follow-on' da Light
","A oferta deve movimentar cerca de R$ 1,5 bilhão "
19/10/2018 às 19h10,"Bradespar não pagará primeira parcela de remuneração aos acionistas
",Companhia avaliará até o último dia útil de março a viabilidade de submeter à assembleia geral ordinária o pagamento de dividendos e juros
19/10/2018 às 19h04,"Anac certifica cargueiro KC-390 da Embraer
","Em nota, a agência informou que o programa de certificação da aeronave durou sete anos, com a verificação de cerca de 2,5 mil requisitos"
19/10/2018 às 18h58,"Sindicato convoca greve nos canteiros da Gafisa no Estado de São Paulo
","Construtora anunciou nesta semana suspensão de pagamentos a fornecedores de produtos e serviços, incluindo vencimentos referentes a terrenos"
19/10/2018 às 18h42,"Gol estima receber quatro novas aeronaves até o fim do ano
","De acordo com a companhia, a renovação da frota vai reduzir custos e aumentar a produtividade em voos nacionais e internacionais"
19/10/2018 às 18h42,"Ofertas de aquisição da Celulose Irani fazem ação subir até 40% na B3 
",Fabricante de embalagens  de papelão ondulado controlada por Habitasul foi posta à venda; Klabin e  Smurfit Kappa são potenciais compradores
19/10/2018 às 18h37,"BMG tem lucro líquido recorrente de R$ 77 milhões no 3º tri
",
19/10/2018 às 18h29,"Banco BMG busca cerca de R$ 2 bi em IPO previsto para dezembro
",
19/10/2018 às 18h28,"Data para entrega de documentos do leilão da Amazonas Energia é adiada
","Segundo comunicado do BNDES, a entrega deverá ocorrer entre 14h e 17h de terça-feira (23)"
19/10/2018 às 15h33,"Ações preferenciais da Cesp fecham em alta de 16,12% após leilão
",Volume negociado com os papéis preferenciais classe B (PNB) da companhia foi o maior fora do Ibovespa
19/10/2018 às 15h28,"Caixa zera taxa para investimento no Tesouro Direto
",Medida foi tomada depois de outras instituições cortarem custos para esse tipo de investimento neste ano
19/10/2018 às 12h26,"Papéis do ‘kit eleições’ caminham para fechar semana no campo positivo
",Estatais e demais empresas do segmento recuperam parte das perdas verificadas na sessão de quinta
19/10/2018 às 12h08,"Bancos absorvem quase metade das captações com debêntures
","Do total de R$ 121,1 bilhões captados com essas emissões neste ano, até agosto, apenas 54% foram de fato distribuídos a investidores"
19/10/2018 às 10h10,"Com única oferta, consórcio com Votorantim e fundo canadense leva Cesp
","Comprador se comprometeu a ficar com a fatia do governo paulista na companhia, de 40,56% do total, ou 95,17% das ações com direito a voto"
19/10/2018 às 09h29,"Petrobras reduz em 2% o preço da gasolina
","Desde o início da nova metodologia, o preço da gasolina nas refinarias acumula alta de 60,26% e, o do diesel, valorização de 74,21%"
19/10/2018 às 08h34,"Eternit convoca assembleia de credores para aprovação recuperação
","Data será 8 de novembro; caso não haja quórum suficiente na primeira convocação, a assembleia será realizada, em segunda chamada, no dia 27"
19/10/2018 às 01h09,"Debate-MG: Zema e Anastasia usam versões distintas contra privatização
",
18/10/2018 às 17h26,"Eletrobras: Leilão da Amazonas Energia está mantido para o dia 25
","Segundo o presidente da estatal, certame está mantido apesar de decisão do Senado de reduzir as chances de venda do controle da amazonense"
18/10/2018 às 16h43,"Chinesas Spic e Zhejiang avaliam aquisição de Tijoá, da Triunfo
","Concessionária é responsável pela usina Três Irmãos, maior hidrelétrica do rio Tietê, em Andradina (SP)"
18/10/2018 às 16h20,"Gafisa suspende pagamento a fornecedores de produtos e serviços
","Companhia afirma em comunicado que voltará a cumprir com esses 0compromissos, no máximo, até 26 de novembro"
18/10/2018 às 13h48,"Bolsas da Europa fecham em queda com tecnologia e perdas em Nova York
",O aprofundamento das perdas em Wall Street e alguns balanços corporativos abaixo do esperado se somaram às preocupações com a China 
18/10/2018 às 13h16,"Cade e ANS aprovam aquisição do Grupo Samed por NotreDame Intermédica
",O Grupo Samed tem uma carteira de aproximadamente 80 mil usuários de convênios médicos
