Date,Title,Subtitle
25/10/2018 às 10h55,"Petrobras mantém inalterado preço de gasolina 
","Desde o início da nova metodologia, o preço da gasolina nas refinarias acumula alta de 51,26% e, o do diesel, valorização de 74,21%"
25/10/2018 às 08h06,"AB InBev vê lucro trimestral recuar
",Resultado negativo foi associado a perdas com marcação a mercado relacionadas à cobertura dos programas de pagamento baseado em ações
25/10/2018 às 00h28,"Via Varejo passa de lucro a prejuízo de R$ 79 milhões no 3º trimestre
",
24/10/2018 às 22h56,"Veja o que é #FATO ou #FAKE na entrevista de Haddad à CBN e ao G1 
",Candidato do PT foi entrevistado nesta quarta-feira (24)
24/10/2018 às 22h13,"Sócios-fundadores da Stone são jovens, discretos e agora bilionários
","André Street, de 34 anos, e Eduardo Pontes, de 39, já fundaram cinco empresas e uma gestora de venture capital"
24/10/2018 às 21h37,"Gol apartará minoritários de companhias operacionais
",Incorporação da Smiles separa controlador e acionistas
24/10/2018 às 21h35,"Dólar puxa demanda por crédito à exportação
",Volume contratado nessas linhas poderia ser maior se não fosse incerteza com custo do frete
24/10/2018 às 19h08,"Lucro da Vale cai 19% no terceiro trimestre, para R$ 5,7 bilhões
","Em dólar, o lucro da empresa foi de US$ 1,408 bilhão, uma queda de 36% ante o ganho de US$ 2,230 bilhões no terceiro trimestre de 2017"
24/10/2018 às 19h05,"Lucro da Whirlpool recua 23,9% no 3° trimestre 
","A americana dona das marcas Brastemp e Consul no Brasil registrou lucro líquido de US$ 210 milhões (US$ 3,22 por ação) "
24/10/2018 às 18h54,"Lucro da Microsoft sobe 34% no trimestre e supera estimativas
","Receita também subiu, com ajuda de computação em nuvem, “produtividade e negócios” e de  computadores pessoais"
24/10/2018 às 17h43,"Em dia de precificação de IPO, Stone sofre vazamento e chantagem
",Um grupo de pessoas teve acesso e vazou parte do código-fonte do software proprietário que a empresa utiliza 
24/10/2018 às 15h40,"Azul anuncia parceria de programa de fidelidade com Turkish Airlines
","Pelos termos do acerto, participantes dos dois programas terão acesso a benefícios exclusivos"
24/10/2018 às 14h38,"Fibria: Gestão segue independente até fechamento de fusão com Suzano
","""Não muda nada. Continuamos dando nosso melhor, batendo recordes, buscando a máxima eficiência, afirma presidente da Fibria"
24/10/2018 às 11h00,"Telefonia móvel contribui para alta de 57% do lucro da AT&T
","De julho a setembro, a empresa de telecomunicações e mídia americana obteve lucratividade de US$ 4,7 bilhões"
