Date,Title,Subtitle
07/02/2017 às 19h30,"Lucro líquido da AGCO caiu 39,3% em 2016, para US$ 160,2 milhões
","No último trimestre de 2016, a companhia registrou lucro líquido de US$ 61,2 milhões, praticamente estável"
07/02/2017 às 18h34,"Queda do petróleo reduz ganhos do Ibovespa no dia
",A alta durante o pregão ocorreu com a valorização das empresas de mineração e siderurgia
07/02/2017 às 18h30,"Movimentação de contêineres da Wilson Sons sobe 6% em janeiro
","Na unidade Tecon Salvador, foram movimentados 27,2 mil Teus, alta de 25,6% em relação a igual mês de 2016"
07/02/2017 às 17h14,"CVM absolve União em processo envolvendo Petrobras e Eletrobras
","Tratou-se de contrato entre a estatal e a Amazonas Distribuidora de Energia, com anuência da Eletrobras"
07/02/2017 às 15h04,"Prejuízo da norueguesa Statoil dispara no quarto trimestre
","A ampliação das perdas foi afetada por uma baixa contábil de US$ 2,3 bilhões no período"
07/02/2017 às 15h03,"Azul abrirá empresa no Uruguai e iniciará operação no país neste ano
","A companhia informou que aumentará em 13% a capacidade em 2017, por causa da entrada em operação de dez novos aviões Airbus A320 neo"
07/02/2017 às 14h50,"Presidente da Caixa descarta IPO da área de seguros neste ano
","Há um contrato com a francesa CNP Assurances, controladora da Caixa Seguros, que dá exclusividade na venda dos produtos até 2021"
07/02/2017 às 12h15,"MEC pretende colocar limite de mensalidade por curso no Fies
",O estudante provavelmente vai procurar por cursos em que não precisa tirar dinheiro do bolso para pagar a diferença
07/02/2017 às 11h48,"Viver espera aprovar planos de recuperação judicial ainda neste ano
","A incorporadora apresentou ontem 17 planos de recuperação judicial no valor total de aproximadamente R$ 1,2 bilhão"
07/02/2017 às 11h05,"Azul encerra 2016 com prejuízo líquido de R$ 126,3 milhões
","A receita operacional da Azul somou R$ 6,67 bilhões em 2016, o que representou um crescimento de 6,6% em relação ao ano anterior"
07/02/2017 às 10h50,"Azul quer levantar US$ 100 milhões e abrir capital nos EUA e no Brasil
",Empresa aérea deve R$ 333 milhões; aérea protocolou ontem pedido de registro de companhia aberta na CVM
07/02/2017 às 10h28,"Companhia Energética Sinop registra pedido de abertura de capital
","A empresa responsável pela Usina Hidrelétrica Sinop é uma sociedade formada por três acionistas, a Chesf, a EDF Brasil e a Eletronorte"
07/02/2017 às 09h30,"Conselho da Movida aprova aumento de capital de R$ 485,95 milhões
","Segundo comunicado, a aprovação acontece em decorrência da fixação do preço de emissão de R$ 7,50 por ação no IPO da empresa"
07/02/2017 às 08h14,"Log vê lucro recuar 26,3% no quarto trimestre
","A subsidiária de galpões logísticos e propriedades comerciais da MRV Engenharia apurou ganhos de 10,1 milhões no período"
06/02/2017 às 16h38,"Petrobras: Plataforma P-66 é concluída e parte rumo ao campo de Lula
","A estrutura tem capacidade para processar 150 mil barris diários de petróleo, por meio de dez poços produtores e oito poços injetores"
06/02/2017 às 16h19,"Vale fará baixa contábil de US$ 1,2 bilhão no balanço do 4º trimestre
","A redução no valor de ativo acontece depois da venda do negócio de fertilizantes da companhia à Mosaic, por US$ 2,5 bilhões, no fim de 2016"
06/02/2017 às 14h44,"Transpetro contém vazamento em duto de MG
","Segundo a empresa, o vazamento decorre de um furto de combustível ocorrido ontem no duto, na altura da mineira Araporã"
06/02/2017 às 13h43,"Semana começa com dólar, juros e Ibovespa em pequena queda
",
06/02/2017 às 12h04,"Oi nega ter tomado decisão sobre proposta de bilionário egípcio
","Reportagem do jornal ""O Globo"", de 2 de fevereiro, informou que a proposta teria sido vetada pelo conselho de administração da companhia"
06/02/2017 às 11h45,"Ibovespa opera em leve queda, com pressão de educação e Localiza
",Sobem Braskem e papéis de construção civil
06/02/2017 às 11h40,"Eminence Capital reduz fatia em ações ordinárias da Rumo
","Participação da consultoria de investimentos passou de 5,88% para 4,72% dos papéis ONs"
06/02/2017 às 08h58,"Cade aprova compra pela BP de fatia da Petrobras em bloco de Campos
",Aquisição de participação de 65% do bloco na Bacia de Campos ainda depende de aprovação da ANP
06/02/2017 às 05h00,"Petrobras cobrará perdas por corrupção
","Alegando ser vítima do esquema desvendado pela Lava-Jato, estatal calcula ter perdido R$ 5,7 bi"
